20	Timberwolf Magazine	Magazine	Legendary	1	1	High caliber military grade <color=legendary>Timberwolf</color> magazine. Designed to fit 6 rounds.	c8f1dd17cb5243278cc5d724192756b1
21	8x Scope	Sight	Rare	2	1	Rail mounted 8x zoom scope.	98f79d346731401ca9bb33746479d728
22	Cross Scope	Sight	Uncommon	2	1	Rail mounted optic with electronic aiming cross.	afd4eedf8d09478db63733cd1d9d83a7
23	Gold Tuxedo Bottom	Pants	Common	2	2	Premium tuxedo woven from the finest fabrics.  When equipped this applies the cosmetic <color=#d2bf22>Gold Tuxedo Bottom</color> to your character in-game.	f60c57dc2ca24d119dbc033fb653a9ff
24	Gold Tuxedo Top	Shirt	Common	3	2	Premium tuxedo woven from the finest fabrics.  When equipped this applies the cosmetic <color=#d2bf22>Gold Tuxedo Top</color> to your character in-game.	6c986e904d9d4514b5d59dc9e156e02b
25	Gold Bowtie	Mask	Common	1	1	Premium bowtie imported from another dimension.  When equipped this applies the cosmetic <color=#d2bf22>Gold Bowtie</color> to your character in-game.	2c123126d8fa45fc8cf1958af4d97167
26	Gold Monocle	Glasses	Common	1	1	Premium monocle for British eye embelishment.  When equipped this applies the cosmetic <color=#d2bf22>Gold Monocle</color> to your character in-game.	53ccea77bc244fef8ff1473ea7136e12
27	Tophat	Hat	Common	2	2	British head embellishment.	ada195ec008f43ae90ebd34086412e8f
28	Portable Gas Can	Fuel	Uncommon	2	2	Sizeable can of gasoline.	d5b9f19e2f2a4ee2ab4dc666f32f7df3
29	Maple Fortification	Barricade	Uncommon	1	2	Maple planks ideal for fortifying windows.	d70ddd7d092249babe7805352e6df1a7
30	Maple Barricade	Barricade	Uncommon	1	2	Maple shield ideal for barricading open spaces.	7b72e383fa044a97b202166ce5f23286
31	Maple Floor	Structure	Uncommon	2	2	Maple floor. Beware of termites.	fcf75f89e11d4982ad5aaa98e8b5a758
32	Maple Doorway	Structure	Uncommon	2	1	Maple doorway. Beware of termites.	769bada7cc81419098ed33c13aa4e0c9
33	Maple Wall	Structure	Uncommon	2	1	Maple wall. Beware of termites.	beffddf4ffd442c4a6cc9b938d14b1ca
34	Maple Window	Structure	Uncommon	2	1	Maple window. Beware of termites.	409ab586b17043149c8d5998c72edf3b
35	Maple Roof	Structure	Uncommon	2	2	Maple roof. Beware of termites.	078bdb0eeed74af2b081c960d00257f0
36	Maple Pillar	Structure	Uncommon	1	2	Maple pillar. Beware of termites.	19a1848d69b9428d8f9332a4d3a29101
37	Birch Log	Supply	Common	2	1	Recently cut, high quality birch.	ccfd125a44cf487fbd3d471f15a854af
38	Birch Stick	Supply	Common	1	1	Recently cut, high quality birch.	9c563bf14d4641a18873f338beaed128
39	Maple Log	Supply	Uncommon	2	1	Recently cut, high quality maple.	94f9c6aa09c249dfbce4f195c0271b9c
40	Maple Stick	Supply	Uncommon	1	1	Recently cut, high quality maple.	46218740c256475b87dbc6a2e9a1fb19
41	Pine Log	Supply	Rare	2	1	Recently cut, high quality pine.	86bf08032a5147f9871e362e40812771
42	Pine Stick	Supply	Rare	1	1	Recently cut, high quality pine.	55d9700ea53c477685458171932251f1
43	Low Caliber Military Ammunition Crate	Supply	Rare	2	2	Low caliber military grade ammunition crate. Designed to fit 40 rounds.	906623dc8e664dba854e18e812a30e12
44	Low Caliber Civilian Ammunition Box	Supply	Uncommon	2	2	Low caliber civilian grade ammunition box. Designed to fit 40 rounds.	ac70d382ad48474c9ad057bf1bd8a3d4
45	Birch Barricade	Barricade	Common	1	2	Birch shield ideal for barricading open spaces.	85550191e69a4b99981ab2860e13cc4c
46	Pine Barricade	Barricade	Rare	1	2	Pine shield ideal for barricading open spaces.	3b2ec42c24834943b61519c1452e7fc2
47	Birch Fortification	Barricade	Common	1	2	Birch planks ideal for fortifying windows.	e724fc0b301e40f4bf40c3c59e15912e
48	Pine Fortification	Barricade	Rare	1	2	Pine planks ideal for fortifying windows.	1af65936e08d4a68a729df0ccc38feef
49	Birch Doorway	Structure	Common	2	1	Birch doorway. Beware of termites.	9b4665ab214048bba6cd359e23b50b07
50	Pine Doorway	Structure	Rare	2	1	Pine doorway. Beware of termites.	2718e79756684574a8223f055c70470f
51	Birch Floor	Structure	Common	2	2	Birch floor. Beware of termites.	a764008fa6c24f35a69977b1709907f1
52	Pine Floor	Structure	Rare	2	2	Pine floor. Beware of termites.	b4ac981d976b4b12b67f55fde662b70c
53	Birch Pillar	Structure	Common	1	2	Birch pillar. Beware of termites.	db2e01aaf099465d97c0e6dc4c8c749d
54	Pine Pillar	Structure	Rare	1	2	Pine pillar. Beware of termites.	26523c2cb43f429ea27e8db284e459de
55	Birch Roof	Structure	Common	2	2	Birch roof. Beware of termites.	dc9d4192b838403c8a44941ddf597093
56	Pine Roof	Structure	Rare	2	2	Pine roof. Beware of termites.	3a0f7c7ceb314cab9b52eea4e3e1ff23
57	Birch Wall	Structure	Common	2	1	Birch wall. Beware of termites.	e017b27d30044087a580e042c2897088
58	Pine Wall	Structure	Rare	2	1	Pine wall. Beware of termites.	dec7d69e836f4d7f9c890a9828784772
59	Birch Window	Structure	Common	2	1	Birch window. Beware of termites.	9ec8daefe5f840dbb70d105f21921e7e
60	Pine Window	Structure	Rare	2	1	Pine window. Beware of termites.	a921ecb08b6740e397d467e66acf104b
61	Maple Plank	Supply	Uncommon	1	2	Recently cut, high quality maple.	e73a23b102f24520a32ec0b2afaa6157
62	Birch Plank	Supply	Common	1	2	Recently cut, high quality birch.	5a3c4302400e400b9b9486fbb5178eca
63	Pine Plank	Supply	Rare	1	2	Recently cut, high quality pine.	719bfdf2c2dc4be6ad5be44d044583e4
64	Rope	Supply	Common	1	1	Tough, strong hemp.	5ff4bcf752554990bf06e103b996cef2
65	Wire	Supply	Common	1	1	Extremely conductive wire, also sharp at the ends.	ebb61f2e64f24351a6ab905b5516060b
66	Cloth	Supply	Common	1	1	Thick, warm fabric and thread.	14901f32cd3240179fd6124324cc27e5
67	Metal Scrap	Supply	Common	1	1	Random assortment of metallic materials.	21ede8ebffb14c5580e8c7ad149e335e
68	Metal Sheet	Supply	Uncommon	2	2	Refined metal pounded into a sheet.	7f06b16642724683bd61584a52fde981
69	Tape	Supply	Common	1	1	Sticky combination of ducts and ducks.	8c25cf28c76a4634855f404c8972c0ae
70	Glue	Water	Common	1	1	Super strong liquidy binding substance.	ae1fc8674d0b4443b3ad9a68776dcf0f
71	Nails	Supply	Common	1	1	Bang these into anything and it will stay that way.	4b68587f5cad45eaab5e07ed0e6fd3b3
72	Metal Can	Supply	Common	1	1	Formerly used for storing preserved food.	c0b0f4a9f46c49a59f4558210bf36da5
73	Raw Explosives	Supply	Uncommon	2	1	Highly explosive materials for use in explosives.	8ce5c560166545499432d6e01ce399cc
74	Bricks	Supply	Common	1	1	Strong, reliable ceramic blocks.	cc444c3f2f354ff5a81f18cf9b980fff
75	Chemicals	Water	Common	1	1	Bottle containing a potent mix of uranium and plutonium.	7aee55ea2abf4f3fb70c4b2677da0e14
76	Blowtorch	Melee	Uncommon	1	2	Staple mechanic tool for repairing vehicles.	5830b84bf8074caa91cf3f4dde0dd19e
77	Canned Tomato Soup	Food	Common	1	1	Carefully sealed tomato paste.	ce28bcc951c645eebae98a881e329316
78	Canned Chicken Soup	Food	Common	1	1	Carefully sealed chicken and noodles.	96a6f0ef6a3e4829aa959cccb27d84e8
79	Canned Tuna	Food	Common	1	1	Carefully sealed tuna fish.	53fd785db5d1456380ce1418fe42b575
80	Canned Cola	Water	Common	1	1	Water saturated with sugar.	fe920a1d4bd6426eb279e5f860927118
81	MRE	Food	Rare	1	2	Meal ready to eat.	acf7e825832f4499bb3b7cbec4f634ca
82	Chips	Food	Common	1	2	Extra crispy.	2a1350f9ca41402fa0f10297b878cc3c
83	Chocolate Bar	Food	Common	1	1	Contains the recommended daily dose of healthy nutritions.	d80ee9242eaf4cd2bf820e0d68d47bf2
84	Candy Bar	Food	Common	1	1	Sugar compressed into a chewy bar.	1ca6017eaa3241f38779f9ee8730899f
85	Granola Bar	Food	Common	1	1	Healthy mix of granola and dried fruit.	a829ea9d0ccb4766a4c761e8a1193361
86	Energy Bar	Food	Common	1	1	Questionable blend of chemicals and food.	e3d11c5882d3407496c264d272acf886
87	Canned Pasta	Food	Common	1	1	All kinds of noodles and tubes ready for making that sort of food.	ddfdcced6bcd4f769c7d335f4e8e5c07
88	Canned Bacon	Food	Common	1	1	Greasy and somehow cooked.	507c042dbf734db99bc5e7762dbde495
89	Canned Beef	Food	Common	1	1	Tender and somehow cooked.	62b295721b3d4ca0a003cf31319bbe1a
90	Canned Sardines	Food	Common	1	1	Carefully sealed sardine fish.	2a52b27ecc6f4cc2920d9c6863b629f4
91	Apple Juice	Water	Common	1	1	Tasty apple juice extract.	4714142193e64af2ae6b5f3f69e3c0ae
92	Grape Juice	Water	Common	1	1	Tasty grape juice extract.	51dc7aaf89d34ebf9b4df35b4ab01d33
93	Bottled Energy	Water	Uncommon	1	1	Questionable blend of chemicals and water.	083960a7639943c8a7313de3266fba11
94	Bottled Coconut	Water	Uncommon	1	1	Water from the center of the coconut.	803ff72cc45e4c7bbcd892187d2cfe27
95	Bandage	Medical	Uncommon	1	1	Medium quality cloth for stopping bleeding, and recovering.	e0503457d87b4230bfa78350c79d16ec
96	Splint	Medical	Uncommon	1	2	Brace designed to set a bone after fracturing.	b2ad25fcad7a4f109e6dcc76a4d285de
97	1911	Gun	Uncommon	2	2	American pistol chambered in 1911 ammunition.	7d6c442450c3419aa73405930919d067
98	1911 Magazine	Magazine	Uncommon	1	1	Low caliber civilian grade <color=uncommon>1911</color> magazine. Designed to fit 7 rounds.	d65116922b5f4a21b009e076d98ab94b
99	Cobra	Gun	Rare	2	2	Austrian pistol chambered in Cobra ammunition.	2fa5551b5148491eb30b686f40d75f9a
100	Cobra Magazine	Magazine	Rare	1	1	Low caliber civilian grade <color=rare>Cobra</color> magazine. Designed to fit 20 rounds.	d7c2993ceb5b49fd9f8ef8d4195854b4
101	Schofield	Gun	Uncommon	5	2	Russian battle rifle chambered in Schofield ammunition.	c9e5a852b9c14206b483e629ee33ade0
102	Schofield Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	da2bfe50b3654a7799dda42e19edd029
103	Schofield Clip	Magazine	Uncommon	1	1	Low caliber civilian grade <color=uncommon>Schofield</color> clip. Designed to fit 5 rounds.	9323b74a83da45c6a213ba8f8f16d13b
104	Fire Axe	Melee	Common	2	3	High power axe used by firefighters.	f779c1dfcc9e44eba9987916cc713799
105	Baseball Bat	Melee	Common	2	3	Tool for playing America's favorite sport.	bdb0a99f009c42bf92ef8764095f4bae
106	Hockey Stick	Melee	Common	2	3	Tool for playing Canada's favorite sport.	3920b257c1664bf3b53943867d531bfd
107	Ace	Gun	Uncommon	2	2	American revolver chambered in Ace ammunition.	92b49222958d4c6fbeca1bd00987b0fd
108	Ace Clip	Magazine	Uncommon	1	1	Low caliber civilian grade <color=uncommon>Ace</color> clip. Designed to fit 6 rounds.	2326f2dcced64ff0b61f452b16c9754f
109	Hawkhound	Gun	Uncommon	5	2	Canadian hunting rifle chambered in Hawkhound ammunition.	851bdc8130ea44bd80605d896937a5ec
110	Hawkhound Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	b64aadf1128c4dad919b72e15e152b25
111	Hawkhound Magazine	Magazine	Uncommon	1	1	Low caliber civilian grade <color=uncommon>Hawkhound</color> magazine. Designed to fit 8 rounds.	4201dc61ec7c4a7dad1695d278c4ba77
112	Bluntforce	Gun	Rare	5	2	American shotgun chambered in 12 Gauge Shells.	2047f537c56442b5aabe535caf819bda
113	12 Gauge Buckshot	Magazine	Rare	1	1	Civilian grade <color=rare>Bluntforce</color> shells.	8031e39dd5664b74ba0b104728413cef
114	Bluntforce Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	93dcaa530e4543e58154ce888adc1a69
115	Raw Ameberries	Water	Common	1	1	Very suspicious looking.	77c2168e6fb5405aadb5f41b074a96e0
116	PDW	Gun	Legendary	3	2	American carbine chambered in Military ammunition. Internally suppressed.	953f584b63bb487eabafa2770be0a798
117	Honeybadger_Barrel	Barrel	Common	2	1		c07e4c1951514cfc842e3f8626f938f2
118	PDW Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	3c118076a63b411195f6cc61dba8f86a
119	Low Caliber Ranger Ammunition Box	Supply	Rare	2	2	Low caliber ranger grade ammunition box. Designed to fit 40 rounds.	5f609a8593504f2c88402cf2c45b49d3
120	Kitchen Knife	Melee	Common	1	2	Cooking knife for chopping food.	15f32f3c3320402c8e4643a6d6a31850
121	Military Knife	Melee	Rare	1	2	Military grade combat knife with serrated back edge for cutting tough objects.	47097f72d56c4bfb83bb8947e66396d5
122	Zubeknakov	Gun	Epic	4	2	Russian assault rifle chambered in Ranger ammunition.	2df5fb7e563f4c5aa21bda1a38232f08
123	Ranger Magazine	Magazine	Rare	1	2	Low caliber ranger grade magazine. Designed to fit 35 rounds.	d5389a47976849ecad40c4f7d6b43789
124	Zubeknakov Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	d95dd1456c7c45dd8f756faa2c1187ab
125	Ranger Drum	Magazine	Epic	2	2	Low caliber ranger grade drum. Designed to fit 75 rounds.	05cd21ecaa214ee0a05ca3274c1564b1
126	Nykorev	Gun	Epic	5	2	Russian machine gun chambered in Nykorev ammunition.	cde96a85b86b4ea99389a83eaa603a32
127	Nykorev Box	Magazine	Epic	2	2	Low caliber ranger grade <color=epic>Nykorev</color> box. Designed to fit 200 rounds.	c327bb2356c24000adde864820167527
128	Nykorev Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	89399d1b92eb4669b7613368cdb18ec1
129	Snayperskya	Gun	Rare	5	2	Russian sharpshooter rifle chambered in Snayperskya ammunition.	5942d0d5f7024df094eba61b4372c7ab
130	Snayperskya Magazine	Magazine	Rare	1	1	Low caliber ranger grade <color=rare>Snayperskya</color> magazine. Designed to fit 7 rounds.	dab7ab5fe1354207b8a1ab2f870bde4f
131	Snayperskya Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	9df8fe4e93354d198c2a488c5286226c
132	Dragonfang	Gun	Epic	5	2	American machine gun chambered in Dragonfang ammunition.	ef50b4155ded471284377c2b199d0409
133	Dragonfang Box	Magazine	Epic	2	2	High caliber military grade <color=epic>Dragonfang</color> box. Designed to fit 150 rounds.	d745be1fee724e18bad95d69b851d191
134	Dragonfang Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	2000511cbadb44ab9dcf203f7e4505b0
135	Golf Club	Melee	Common	2	3	Versatile iron used for striking golf balls.	e6d9c1f5bddf4b32b0b928e5dc5fd527
136	Sledgehammer	Melee	Uncommon	2	3	Construction tool for heavy duty work.	11fd7b0c61e842acafb4807444855801
137	Butcher Knife	Melee	Common	1	2	Meat knife for cutting meat.	61ddb8bdddef4aa093dfedcc48c78976
138	Hammer	Melee	Common	1	2	Construction tool for work around the house.	b0d48d63525544aa8ee95d4e686858b1
139	Pocketknife	Melee	Uncommon	1	2	Fold out knife equipped with everything from a flamethrower to a comb.	38dbb3ce060d47998371064f5ac26aa8
140	Butterfly Knife	Melee	Rare	1	2	Blade concealed between two rotating handles.	171ade409eef4c0c8da7cfbddfaf9e94
141	Saw	Melee	Common	2	1	Construction tool for cutting lumber.	fd6bee4579884ee9ad0b729baf423ab1
142	Rake	Melee	Common	2	3	Yard tool for cleaning up leaves.	91cb075e6f5743f7a22f9bf4a821f48f
143	Bipod	Grip	Epic	1	2	Military grade bipod. Reduces recoil and spread when prone.	4a1ac4b1fda34805b22ce0aa582ead08
144	Ranger Suppressor	Barrel	Epic	2	1	Ranger grade suppressor. Makes gunshots much quieter.	59786a19acd140c9841ec0e03e5aa6e6
145	Horizontal Grip	Grip	Rare	2	1	Military grade horizontal grip. Reduces horizontal recoil.	51522922280145578d8ab53b98efc0cc
146	Dot Sight	Sight	Uncommon	2	1	Rail mounted sight with electronic aiming point.	19c02b2e36c345a59b3875d82224ed8e
147	Halo Sight	Sight	Uncommon	2	1	Rail mounted sight with electronic aiming halo.	274bace6abe1413dbe4310bc942119fa
148	Chevron Scope	Sight	Uncommon	2	1	Rail mounted optic with electronic aiming chevron.	bd652150e29445cca47dcae94840c770
149	Military Barrel	Barrel	Rare	2	1	Military grade barrel. Increases accuracy.	932f20635e6142c69648ea2840d11d59
150	Military Muzzle	Barrel	Rare	1	1	Military grade muzzle. Hides muzzle flash, tracers and reduces recoil.	94c0b1981bcc4a2c87219b3be9903597
151	Tactical Laser	Tactical	Rare	1	1	Side mounted tactical laser. Increases accuracy.	e795f250c6384d7db45a05be43f156ac
152	Tactical Light	Tactical	Rare	1	1	Side mounted tactical light.	2a7c7d0b784141ad8a08e2442ce08465
153	7x Scope	Sight	Rare	2	1	Rail mounted 7x zoom scope.	f4ea0132ca2246f885d359579df0356e
154	Orange Shirt	Shirt	Common	3	2	Moderate weather shirt.	0ffc118ca71c4e978d18cff3d974da2a
155	Orange T-Shirt	Shirt	Common	3	2	Warm weather tee.	54956fec9eb84b9ea17fa18ec40db022
156	Orange Parka	Shirt	Common	3	2	Cold weather parka.	cc23c2088ade423d8a08223929abb925
157	Purple Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	60a5bfcb4fcf4846a059a1e9d97afe10
158	Purple Shirt	Shirt	Common	3	2	Moderate weather shirt.	2856b0b25d3f40798cdcfd2aa18bb34b
159	Purple T-Shirt	Shirt	Common	3	2	Warm weather tee.	8975e0ea30ec4dcc946346b7e5eb104a
160	Purple Parka	Shirt	Common	3	2	Cold weather parka.	5a5124244ede4806a4f7e08856c8f767
161	Green Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	dc782f3ef7074af6a3fd3ada65d7a291
162	Green Parka	Shirt	Common	3	2	Cold weather parka.	6e2427c09a1941189207c7d76eda7758
163	Green Shirt	Shirt	Common	3	2	Moderate weather shirt.	d8132852917e44ed8d512507e3df6b3c
164	Green T-Shirt	Shirt	Common	3	2	Warm weather tee.	328a92a0d92643f08b5e6193691aba09
165	Red Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	2148d0b98adf418a9493118818004562
166	Red Parka	Shirt	Common	3	2	Cold weather parka.	f75c7d76a81a4388b1419ab070e10bbe
167	Red Shirt	Shirt	Common	3	2	Moderate weather shirt.	a4eadb0115f440ee97c040434326347e
168	Red T-Shirt	Shirt	Common	3	2	Warm weather tee.	9d21b8b914a14d10bec54e21221b0e72
169	Yellow Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	27cd2dbfe82c4833ad7546b54987b603
170	Yellow Parka	Shirt	Common	3	2	Cold weather parka.	a988a20071aa42a8995ed30cb7dc366c
171	Yellow Shirt	Shirt	Common	3	2	Moderate weather shirt.	3662ab9a8ef04e08b9875f5b953cb6c8
172	Yellow T-Shirt	Shirt	Common	3	2	Warm weather tee.	556421320a874be1b32dc4ea3b423954
173	Blue Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	31fb8b58dd14474b8fb069f95f660163
174	Blue Parka	Shirt	Common	3	2	Cold weather parka.	6d67505c92514621af801489842f977c
175	Blue Shirt	Shirt	Common	3	2	Moderate weather shirt.	7cdf80b34af44a33b41a8d12e5b82ec7
176	Blue T-Shirt	Shirt	Common	3	2	Warm weather tee.	c72a17493608462fa712639f5adede6a
177	White Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	1c3d496df33b45c6991cdbe0ef176386
178	White Parka	Shirt	Common	3	2	Cold weather parka.	889d6e72eeb14badba980c4a8cda2bf0
179	White Shirt	Shirt	Common	3	2	Moderate weather shirt.	20ad7b951cd844ebabd0071ea27c312f
180	White T-Shirt	Shirt	Common	3	2	Warm weather tee.	7a241c1ca1524866b86d506df7960ea7
181	Black Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	dde7c3ad49884aae89a37906df2b50ef
182	Black Parka	Shirt	Common	3	2	Cold weather parka.	39780ccfa4c94ea29065eaca7030f046
183	Black Shirt	Shirt	Common	3	2	Moderate weather shirt.	446803fbc3b7401d9a082a68b9d16672
184	Black T-Shirt	Shirt	Common	3	2	Warm weather tee.	c3adf16156004b40a839ed1b80583c32
185	Black Bandana	Mask	Common	1	1	Tablecloth for your neck.	9c2b4e15517e434fac0cf0f4bdf0c278
186	Blue Bandana	Mask	Common	1	1	Tablecloth for your neck.	06d40860b92349138d4b812855deb764
187	Green Bandana	Mask	Common	1	1	Tablecloth for your neck.	a8117811b16c43e881bf95ef586af1d9
188	Orange Bandana	Mask	Common	1	1	Tablecloth for your neck.	8010e059e14d4147a7c849dc50372906
189	Purple Bandana	Mask	Common	1	1	Tablecloth for your neck.	2aab8c5f5cd047aa9f36c7bdbcdfde7d
190	White Bandana	Mask	Common	1	1	Tablecloth for your neck.	b973f4978e544907a3715e48bed9d096
191	Yellow Bandana	Mask	Common	1	1	Tablecloth for your neck.	46fb7226dcb04e5daa71d309558cbe61
192	Black Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	cd9befdea7c14ab3aa1e6c6d3af53f6b
193	Blue Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	2a33663da0ab461abe9cb545426d6b3d
194	Green Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	5a34851a96ff40fa953ad38c72b34b2a
195	Orange Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	0cc439aec2b54269b63cc5b32fb202e3
196	Purple Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	7f9fb0cc539848009abaf3bb45138e54
197	Red Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	83ab94894c0545c2981ceefe1a89cb7e
198	White Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	b5c5c8295a1d461fa92b027827df82ea
199	Yellow Toque	Hat	Common	2	2	Warm Canadian hat for the stormy winters.	2c49f596136c495490826537713abaf5
200	Black Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	6eb6e4aea7d54f23899672cca1b5e306
201	Blue Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	d98c063e0f3648388c8ce60cb4a3ba3c
202	Green Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	306f811367ba4ccd99bca23d96a343c4
203	Orange Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	5b0391f7428e4c8c92ed5bf5c0342bbe
204	Purple Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	625cffdf2f2a40e4971db17c0152bb15
205	White Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	c387f10875af49cda3afdfe0985b2767
206	Yellow Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	774a3f43ea214706b29210dacff2fee6
207	Outfit Jeans	Pants	Common	2	2	Denim day-to-day pants.	bdae9d26ca704d729b2b0f34812d2a36
208	Cowboy Jeans	Pants	Common	2	2	Denim wild west pants.	dab78cc4d66645bfb8169be7c15cf876
209	Cargo Pants	Pants	Uncommon	2	2	High capacity synthetic pants for all weather.	e18bbb5ccae347aab40d8d4b9fa4dc0a
211	Plaid Shirt	Shirt	Uncommon	3	2	Perfect for cutting lumber in the wilderness.	d524acff146c48c48f553339963b1118
212	Khaki Pants	Pants	Common	2	2	British pants for maximum uniform.	f5fe5dca2491449987cd23a1e797d605
213	Corduroy Pants	Pants	Common	2	2	Also known for associating with bears.	24721134d67a47efaae82f4f3875562c
214	Trouser Pants	Pants	Common	2	2	Grey pants for any occasion.	cc959509b8f54dfd82b51cdcb4262e49
215	Black Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	a1d0827a996e4d6993a56c69e0040f57
216	Blue Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	55c2e4db7a694e72b917bd4b457ce5bb
217	Green Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	9d0a4ac5e993499fb590c530e7837745
218	Orange Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	ae0a91ed8b254ef79174e438998cb19f
219	Purple Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	7ea12ba98b9a424990cffaed4da27a4b
220	Red Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	88cdef5022fa48168df0e6038e06c727
221	White Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	006f11eb53e14655b159db86925465d6
222	Yellow Sweatervest	Vest	Common	2	2	Intellectual outer clothing.	ba682e1d830b4ed1bf5fa42815b1f5f7
223	Police Top	Shirt	Uncommon	3	2	Law enforcement uniform shirt.	0ade03e111ac4c0b901e200d8b0ba39f
224	Police Bottom	Pants	Uncommon	2	2	Law enforcement uniform pants.	1df3d3b8dd7a4e3483934805d940358b
225	Police Cap	Hat	Uncommon	2	2	Law enforcement uniform cap.	8020c7ee8ac541399a3df8a3852660e0
226	Khaki Shorts	Pants	Common	2	2	British shorts for maximum uniform.	f89a858fee124f28b122eec7965aeceb
227	Cargo Shorts	Pants	Common	2	2	High capacity synthetic shorts for all weather.	ec55f3035bcd48e98e48f032496ab27e
228	Corduroy Shorts	Pants	Common	2	2	Also known for associating with bears.	3eb418560771458d827921dddf38fb47
229	Trouser Shorts	Pants	Common	2	2	Grey shorts for any occasion.	d82e825e81b84d94a2a95b9e41c20cad
230	Chef Top	Shirt	Uncommon	3	2	Cooking uniform shirt.	4f614196d8684c1ab7e07929dac32d09
231	Chef Bottom	Pants	Uncommon	2	2	Cooking uniform pants.	c2b88ff6b9a44bc2a221f0adc54b0a19
232	Construction Top	Shirt	Uncommon	3	2	Construction uniform shirt.	233f86ae53de4a76bc96c266d3adb537
233	Firefighter Top	Shirt	Uncommon	3	2	Firefighting uniform shirt.	dff9815c9424407a84c40010a0fdee7b
234	Firefighter Bottom	Pants	Uncommon	2	2	Firefighting uniform pants.	42de222c299d4d62af05ee86cb4d532b
